video,true_label,predicted_label,true_binary,pred_binary,confidence,contact_frames,max_overlap,min_distance,max_acceleration,motion_type
GH_01,Ghost_Hit,REAL_HIT,1,0,0.9038461538461539,24,608,1.0,31241.79892387761,impact
GH_02,Ghost_Hit,REAL_HIT,1,0,0.8525641025641025,16,16858,3.1622776601683795,540906.7387267421,impact
GH_03,Ghost_Hit,EXTERNAL_FACTOR,1,0,0.6,0,0,305.60104711862493,619781.6265250521,impact
GH_04,Ghost_Hit,EXTERNAL_FACTOR,1,0,0.6,0,0,243.0164603478538,576917.5504350687,impact
GH_05,Ghost_Hit,EXTERNAL_FACTOR,1,0,0.6,0,0,159.90622251807463,16200.0,impact
GH_06,Ghost_Hit,REAL_HIT,1,0,0.7884615384615384,6,106,2.23606797749979,667802.4258716047,impact
GH_07,Ghost_Hit,REAL_HIT,1,0,0.7564102564102564,1,36,2.23606797749979,1800.0,impact
GH_08,Ghost_Hit,REAL_HIT,1,0,0.7948717948717949,7,110,1.0,575353.7722219265,impact
GH_09,Ghost_Hit,REAL_HIT,1,0,0.8461538461538461,15,317,0.0,9000.0,impact
GH_10,Ghost_Hit,REAL_HIT,1,0,0.9487179487179487,31,21668,6.708203932499369,2012.461179749811,impact
RH_01,Real_Hit,REAL_HIT,0,0,0.7628205128205128,2,418,3.1622776601683795,659021.2844635076,impact
RH_02,Real_Hit,REAL_HIT,0,0,0.7884615384615384,6,535,5.385164807134504,560408.1102196863,impact
RH_03,Real_Hit,REAL_HIT,0,0,0.8076923076923077,9,19204,1.4142135623730951,87577.90817323739,impact
RH_04,Real_Hit,EXTERNAL_FACTOR,0,0,0.6,0,0,254.07085625864295,621553.3285812474,impact
RH_05,Real_Hit,REAL_HIT,0,0,0.7884615384615384,6,546,1.4142135623730951,3600.0,impact
RH_06,Real_Hit,REAL_HIT,0,0,0.9358974358974359,29,878,5.0,565257.4892174815,impact
RH_07,Real_Hit,REAL_HIT,0,0,0.7628205128205128,2,82,4.123105625617661,594002.7272664664,impact
RH_08,Real_Hit,REAL_HIT,0,0,0.8269230769230769,12,18218,81.05553651663777,570606.3678891073,impact
RH_09,Real_Hit,REAL_HIT,0,0,0.8397435897435898,14,17004,0.0,558000.7154208516,impact
RH_10,Real_Hit,REAL_HIT,0,0,0.8525641025641025,16,476,1.0,656649.3688433308,impact
